url,title,author,book_title,Category,Subject,html_url,text_url,search_text
https://www.gutenberg.org/ebooks/21840,Woman by William J. Robinson,"Robinson, William J. (William Josephus), 1867-1936",WomanHer Sex and Love Life,Text,Sexual health,https://www.gutenberg.org/ebooks/21840.html.images,https://www.gutenberg.org/ebooks/21840.txt.utf-8,"Woman by William J. Robinson Robinson, William J. (William Josephus), 1867-1936 Sexual health"
https://www.gutenberg.org/ebooks/60054,Romantic Love and Personal Beauty by Henry T. Finck,"Finck, Henry T., 1854-1926","Romantic Love and Personal BeautyTheir development, causal relations, historic and national peculiarities",Text,"Beauty, Personal",https://www.gutenberg.org/ebooks/60054.html.images,https://www.gutenberg.org/ebooks/60054.txt.utf-8,"Romantic Love and Personal Beauty by Henry T. Finck Finck, Henry T., 1854-1926 Beauty, Personal"
https://www.gutenberg.org/ebooks/73144,Lady Chatterley's lover by D. H. Lawrence,"Lawrence, D. H. (David Herbert), 1885-1930",Lady Chatterley's lover,Text,Disabled veterans -- Fiction,https://www.gutenberg.org/ebooks/73144.html.images,https://www.gutenberg.org/ebooks/73144.txt.utf-8,"Lady Chatterley's lover by D. H. Lawrence Lawrence, D. H. (David Herbert), 1885-1930 Disabled veterans -- Fiction"
https://www.gutenberg.org/ebooks/82,Ivanhoe: A Romance by Walter Scott,"Scott, Walter, 1771-1832",Ivanhoe: A Romance,Text,Normans -- Great Britain -- Fiction,https://www.gutenberg.org/ebooks/82.html.images,https://www.gutenberg.org/ebooks/82.txt.utf-8,"Ivanhoe: A Romance by Walter Scott Scott, Walter, 1771-1832 Normans -- Great Britain -- Fiction"
https://www.gutenberg.org/ebooks/766,David Copperfield by Charles Dickens,"Dickens, Charles, 1812-1870",David Copperfield,Text,Child labor -- Fiction,https://www.gutenberg.org/ebooks/766.html.images,https://www.gutenberg.org/ebooks/766.txt.utf-8,"David Copperfield by Charles Dickens Dickens, Charles, 1812-1870 Child labor -- Fiction"
https://www.gutenberg.org/ebooks/26225,Fifteen Thousand Useful Phrases by Grenville Kleiser,"Kleiser, Grenville, 1868-1953",Fifteen Thousand Useful Phrases,Sound,English language -- Terms and phrases,https://www.gutenberg.org/files/26225/26225-index.html,https://www.gutenberg.org/files/26225/26225-readme.txt,"Fifteen Thousand Useful Phrases by Grenville Kleiser Kleiser, Grenville, 1868-1953 English language -- Terms and phrases"
https://www.gutenberg.org/ebooks/84,"Frankenstein; Or, The Modern Prometheus by Mary Wollstonecraft Shelley","Shelley, Mary Wollstonecraft, 1797-1851","Frankenstein; Or, The Modern Prometheus",Text,Frankenstein's monster (Fictitious character) -- Fiction,https://www.gutenberg.org/ebooks/84.html.images,https://www.gutenberg.org/ebooks/84.txt.utf-8,"Frankenstein; Or, The Modern Prometheus by Mary Wollstonecraft Shelley Shelley, Mary Wollstonecraft, 1797-1851 Frankenstein's monster (Fictitious character) -- Fiction"
https://www.gutenberg.org/ebooks/289,The Wind in the Willows by Kenneth Grahame,"Grahame, Kenneth, 1859-1932",The Wind in the Willows,Text,River life -- Fiction,https://www.gutenberg.org/ebooks/289.html.images,https://www.gutenberg.org/ebooks/289.txt.utf-8,"The Wind in the Willows by Kenneth Grahame Grahame, Kenneth, 1859-1932 River life -- Fiction"
https://www.gutenberg.org/ebooks/1497,The Republic by Plato,"Plato, 428? BCE-348? BCE",The Republic,Text,Justice -- Early works to 1800,https://www.gutenberg.org/ebooks/1497.html.images,https://www.gutenberg.org/ebooks/1497.txt.utf-8,"The Republic by Plato Plato, 428? BCE-348? BCE Justice -- Early works to 1800"
https://www.gutenberg.org/ebooks/902,"The Happy Prince, and Other Tales by Oscar Wilde","Wilde, Oscar, 1854-1900","The Happy Prince, and Other Tales",Text,"Short stories, English",https://www.gutenberg.org/ebooks/902.html.images,https://www.gutenberg.org/ebooks/902.txt.utf-8,"The Happy Prince, and Other Tales by Oscar Wilde Wilde, Oscar, 1854-1900 Short stories, English"
